EPI_ISL_85614|A/Alaska/04/2010
EPI_ISL_138246|A/American_Samoa/7415/2011
EPI_ISL_107026|A/Arizona/06/2011
EPI_ISL_100421|A/Arkansas/04/2011
EPI_ISL_106104|A/Astrakhan/65/2011
EPI_ISL_100424|A/Beijing-Xicheng/11542/2011
EPI_ISL_99799|A/Chonburi/269/2011
EPI_ISL_100428|A/Delaware/11/2011
EPI_ISL_99797|A/El_Salvador/1571/2011
EPI_ISL_105761|A/Finland/190/2011
EPI_ISL_100431|A/Hawaii/09/2011
EPI_ISL_98827|A/Indiana/09/2011
EPI_ISL_96097|A/Iowa/06/2011
EPI_ISL_89789|A/Massachusetts/07/2011
EPI_ISL_100437|A/Massachusetts/11/2011
EPI_ISL_100442|A/Nebraska/14/2011
EPI_ISL_89812|A/Pennsylvania/03/2011
EPI_ISL_102992|A/Pennsylvania/17/2011
EPI_ISL_94774|A/Taiwan/1328/2011
EPI_ISL_96110|A/Valparaiso/18469/2011
EPI_ISL_87944|A/Vermont/03/2011
EPI_ISL_89756|A/Alabama/01/2011
EPI_ISL_101596|A/Alabama/04/2011
EPI_ISL_86087|A/Alaska/01/2011
EPI_ISL_98634|A/Alaska/17/2011
EPI_ISL_98635|A/American_Samoa/7411/2011
EPI_ISL_96077|A/Argentina/198/2011
EPI_ISL_95505|A/Argentina/215/2011
EPI_ISL_96078|A/Argentina/566/2011
EPI_ISL_96079|A/Argentina/676/2011
EPI_ISL_100422|A/Arkansas/05/2011
EPI_ISL_96081|A/Bangladesh/1539/2011
EPI_ISL_93772|A/Bolivia/405/2011
EPI_ISL_99114|A/British_Columbia/RV1382/2011
EPI_ISL_93774|A/California/16/2011
EPI_ISL_89758|A/California/18/2011
EPI_ISL_99800|A/Chiang_Rai/277/2011
EPI_ISL_99803|A/Colorado/07/2011
EPI_ISL_125915|A/Kenya/113/2012
EPI_ISL_108347|A/Maryland/08/2012
EPI_ISL_122007|A/Washington/23/2012
EPI_ISL_119707|A/California/24/2012
EPI_ISL_122009|A/Hawaii/02/2012
EPI_ISL_124528|A/Kenya/119/2012
EPI_ISL_126299|A/Liaoning-Mingshan/1102/2012
EPI_ISL_122127|A/Martinique/201/2012
EPI_ISL_119882|A/Michigan/04/2012
EPI_ISL_117059|A/Nevada/09/2012
EPI_ISL_128991|A/Ontario/RV2818/2012
EPI_ISL_119876|A/Pennsylvania/07/2012
EPI_ISL_125917|A/Santiago/35234/2012
EPI_ISL_122134|A/Taiwan/607/2012
EPI_ISL_126323|A/Anhui-Jinan/173/2012
EPI_ISL_126335|A/Beijing-Huairou/1458/2012
EPI_ISL_125910|A/Brazil/7920/2012
EPI_ISL_125902|A/Brazil/8751/2012
EPI_ISL_107918|A/Delaware/02/2012
EPI_ISL_119704|A/Florida/09/2012
EPI_ISL_120859|A/Florida/12/2012
EPI_ISL_121993|A/Florida/14/2012
EPI_ISL_126297|A/Fujian-Longwen/32/2012
EPI_ISL_105760|A/Georgia/01/2012
EPI_ISL_108356|A/Georgia/04/2012
EPI_ISL_107038|A/Guam/402/2012
EPI_ISL_123588|A/Hong_Kong/8149/2012
EPI_ISL_125914|A/Idaho/20/2012
EPI_ISL_125911|A/India/1240/2012
EPI_ISL_107037|A/Indiana/01/2012
EPI_ISL_122133|A/Indiana/05/2012
EPI_ISL_126341|A/Jiangsu-Xinpu/1179/2012
EPI_ISL_126327|A/Jiangxi-Donghu/1200/2012
EPI_ISL_126329|A/Jiangxi-Donghu/1237/2012
EPI_ISL_126310|A/Jilin-Ningjiang/178/2012
EPI_ISL_124530|A/Kenya/117/2012
EPI_ISL_108348|A/Maryland/09/2012
EPI_ISL_133069|A/Maryland/43/2012
EPI_ISL_117063|A/Missouri/06/2012
EPI_ISL_133070|A/Missouri/13/2012
EPI_ISL_164975|A/Bahrain/441/2013
EPI_ISL_164923|A/Bahrain/456/2013
EPI_ISL_157474|A/California/63/2013
EPI_ISL_157082|A/Nebraska/19/2013
EPI_ISL_164719|A/Switzerland/9715293/2013
EPI_ISL_157765|A/Brazil/4964/2013
EPI_ISL_157087|A/Connecticut/10/2013
EPI_ISL_158075|A/Laos/337/2013
EPI_ISL_153923|A/Taiwan/1045/2013
EPI_ISL_157089|A/Bangladesh/8011/2013
EPI_ISL_145677|A/Brazil/3873/2013
EPI_ISL_153575|A/California/47/2013
EPI_ISL_154821|A/California/58/2013
EPI_ISL_157098|A/Connecticut/9/2013
EPI_ISL_164734|A/Dominican_Republic/7916/2013
EPI_ISL_138281|A/Iowa/01/2013
EPI_ISL_153576|A/Kentucky/13/2013
EPI_ISL_143266|A/Kenya/108/2013
EPI_ISL_158074|A/Laos/348/2013
EPI_ISL_145112|A/Managua/1083/2013
EPI_ISL_138004|A/New_Hampshire/03/2013
EPI_ISL_153577|A/New_York/32/2013
EPI_ISL_134765|A/North_Carolina/01/2013
EPI_ISL_150182|A/North_Carolina/11/2013
EPI_ISL_153224|A/Oklahoma/16/2013
EPI_ISL_153527|A/Ontario/RV2345/2013
EPI_ISL_153212|A/Ontario/RV2355/2013
EPI_ISL_153574|A/Pennsylvania/33/2013
EPI_ISL_143671|A/Rhode_Island/06/2013
EPI_ISL_145641|A/Santiago/35652/2013
EPI_ISL_152922|A/Trinidad/3558/2013
EPI_ISL_144978|A/Utah/07/2013
EPI_ISL_145640|A/Vietnam/3064/2013
EPI_ISL_153529|A/Vietnam/473/2013
EPI_ISL_153526|A/Vietnam/481/2013
EPI_ISL_134448|A/Virginia/03/2013
EPI_ISL_153223|A/Washington/18/2013
EPI_ISL_134766|A/Wyoming/01/2013
EPI_ISL_151806|A/Alaska/14/2013
EPI_ISL_153530|A/Alberta/RV2302/2013
EPI_ISL_165676|A/Bangladesh/8012/2014
EPI_ISL_168104|A/Brazil/3972/2014
EPI_ISL_188884|A/Egypt/4870/2014
EPI_ISL_170686|A/Florida/58/2014
EPI_ISL_169935|A/Florida/66/2014
EPI_ISL_164970|A/Kenya/118/2014
EPI_ISL_311857|A/Maine/09/2014
EPI_ISL_172790|A/Mexico/2865/2014
EPI_ISL_169919|A/Minnesota/35/2014
EPI_ISL_172744|A/Ohio/12/2014
EPI_ISL_174148|A/Puerto_Rico/26/2014
EPI_ISL_174150|A/Puerto_Rico/27/2014
EPI_ISL_195934|A/Singapore/KK943/2014
EPI_ISL_176570|A/Uganda/4530/2014
EPI_ISL_188888|A/Washington/60/2014
EPI_ISL_165984|A/Argentina/139/2014
EPI_ISL_165972|A/Argentina/150/2014
EPI_ISL_165974|A/Argentina/92/2014
EPI_ISL_165691|A/Bangladesh/0862/2014
EPI_ISL_165973|A/Brazil/0126/2014
EPI_ISL_165951|A/Brazil/0127/2014
EPI_ISL_165956|A/Brazil/0130/2014
EPI_ISL_165983|A/Brazil/0155/2014
EPI_ISL_166293|A/Brazil/0211/2014
EPI_ISL_168112|A/Brazil/0769/2014
EPI_ISL_168121|A/Brazil/367/2014
EPI_ISL_168114|A/Brazil/9879/2014
EPI_ISL_171372|A/Busan/1996/2014
EPI_ISL_175194|A/Cambodia/1370/2014
EPI_ISL_176548|A/Congo/2557/2014
EPI_ISL_176547|A/Congo/2611/2014
EPI_ISL_170702|A/Delaware/35/2014
EPI_ISL_172569|A/Delaware/39/2014
EPI_ISL_172601|A/District_Of_Columbia/03/2014
EPI_ISL_167413|A/Florida/34/2014
EPI_ISL_167924|A/Florida/37/2014
EPI_ISL_167926|A/Florida/39/2014
EPI_ISL_167927|A/Florida/40/2014
EPI_ISL_172595|A/Georgia/21/2014
EPI_ISL_188883|A/Georgia/28/2014
EPI_ISL_176489|A/Florida/22/2015
EPI_ISL_205177|A/Irkutsk/88/2015
EPI_ISL_176488|A/Mississippi/04/2015
EPI_ISL_226837|A/Nebraska/19/2015
EPI_ISL_176640|A/New_Jersey/09/2015
EPI_ISL_205183|A/Alaska/157/2015
EPI_ISL_202895|A/Alaska/244/2015
EPI_ISL_188864|A/Arizona/01/2015
EPI_ISL_200678|A/Brazil/6261/2015
EPI_ISL_195902|A/Brazil/96/2015
EPI_ISL_194172|A/Brisbane/47/2015
EPI_ISL_176695|A/California/16/2015
EPI_ISL_176735|A/California/19/2015
EPI_ISL_176747|A/California/20/2015
EPI_ISL_174178|A/Colorado/01/2015
EPI_ISL_175154|A/Colorado/02/2015
EPI_ISL_174183|A/Colorado/03/2015
EPI_ISL_207006|A/Costa_Rica/3047/2015
EPI_ISL_194166|A/Fiji/02/2015
EPI_ISL_172809|A/Florida/10/2015
EPI_ISL_172807|A/Florida/13/2015
EPI_ISL_176706|A/Florida/21/2015
EPI_ISL_176576|A/Florida/23/2015
EPI_ISL_191703|A/Florida/45/2015
EPI_ISL_193310|A/Florida/46/2015
EPI_ISL_176542|A/Georgia/01/2015
EPI_ISL_205630|A/Guatemala/142/2015
EPI_ISL_195906|A/Guatemala/9922/2015
EPI_ISL_177539|A/Idaho/02/2015
EPI_ISL_188876|A/Idaho/11/2015
EPI_ISL_176522|A/Iowa/06/2015
EPI_ISL_201234|A/Martinique/2160/2015
EPI_ISL_174166|A/Massachusetts/01/2015
EPI_ISL_193349|A/Massachusetts/18/2015
EPI_ISL_191699|A/Massachusetts/19/2015
EPI_ISL_174172|A/Michigan/04/2015
EPI_ISL_191701|A/Minnesota/25/2015
EPI_ISL_177538|A/Mississippi/06/2015
EPI_ISL_174179|A/Missouri/02/2015
EPI_ISL_174184|A/Missouri/03/2015
EPI_ISL_247996|A/Wisconsin/97/2016
EPI_ISL_233436|A/Bangladesh/1001/2016
EPI_ISL_259183|A/Hawaii/90/2016
EPI_ISL_238670|A/Idaho/37/2016
EPI_ISL_240305|A/Managua/8779.06/2016
EPI_ISL_242714|A/Oman/5191/2016
EPI_ISL_232534|A/Temuco/50233/2016
EPI_ISL_259195|A/Alabama/18/2016
EPI_ISL_233001|A/Anjeva/1747/2016
EPI_ISL_259196|A/Arizona/80/2016
EPI_ISL_233448|A/Bangladesh/1012/2016
EPI_ISL_233443|A/Bangladesh/704002/2016
EPI_ISL_259186|A/Delaware/33/2016
EPI_ISL_238682|A/Florida/80/2016
EPI_ISL_259075|A/Guadeloupe/7129/2016
EPI_ISL_259079|A/Hong_Kong/2302/2016
EPI_ISL_259192|A/Illinois/52/2016
EPI_ISL_238675|A/Iowa/29/2016
EPI_ISL_247985|A/Iowa/36/2016
EPI_ISL_259198|A/Iowa/42/2016
EPI_ISL_238672|A/Michigan/105/2016
EPI_ISL_224034|A/Minnesota/69/2016
EPI_ISL_239192|A/Minnesota/75/2016
EPI_ISL_225090|A/Mississippi/14/2016
EPI_ISL_230306|A/Moramanga/1942/2016
EPI_ISL_258292|A/Nevada/54/2016
EPI_ISL_259191|A/Nevada/55/2016
EPI_ISL_238679|A/New_York/100/2016
EPI_ISL_224043|A/New_York/58/2016
EPI_ISL_224045|A/North_Carolina/44/2016
EPI_ISL_238635|A/North_Carolina/51/2016
EPI_ISL_270161|A/North_Carolina/62/2016
EPI_ISL_239666|A/Oman/4554/2016
EPI_ISL_242716|A/Peru/65116/2016
EPI_ISL_240144|A/Peru/8316/2016
EPI_ISL_237337|A/Rwanda/577/2016
EPI_ISL_230299|A/South_Africa/3776/2016
EPI_ISL_259184|A/South_Dakota/29/2016
EPI_ISL_238633|A/Texas/182/2016
EPI_ISL_225058|A/Uganda/274/2016
EPI_ISL_296493|A/Afghanistan/0437/2017
EPI_ISL_283312|A/Antananarivo/2623/2017
EPI_ISL_273625|A/Kyiv/3/2017
EPI_ISL_283351|A/Missouri/28/2017
EPI_ISL_259225|A/Oregon/08/2017
EPI_ISL_272876|A/Alabama/13/2017
EPI_ISL_272878|A/Alaska/08/2017
EPI_ISL_281700|A/Alaska/35/2017
EPI_ISL_273633|A/Arizona/29/2017
EPI_ISL_264416|A/Arkansas/17/2017
EPI_ISL_283329|A/Brazil/9896/2017
EPI_ISL_314988|A/California/154/2017
EPI_ISL_264417|A/California/38/2017
EPI_ISL_283333|A/Colombia/5238/2017
EPI_ISL_285688|A/Florida/73/2017
EPI_ISL_283339|A/Guatemala/276/2017
EPI_ISL_259137|A/Hong_Kong/121/2017
EPI_ISL_259138|A/Hong_Kong/247/2017
EPI_ISL_281529|A/Hong_Kong/3578/2017
EPI_ISL_259226|A/Illinois/15/2017
EPI_ISL_259229|A/Illinois/22/2017
EPI_ISL_264428|A/Illinois/27/2017
EPI_ISL_264430|A/Indiana/22/2017
EPI_ISL_272912|A/Iowa/20/2017
EPI_ISL_284884|A/Iowa/28/2017
EPI_ISL_292566|A/Kentucky/31/2017
EPI_ISL_272913|A/La_Serena/19498/2017
EPI_ISL_264440|A/Louisiana/26/2017
EPI_ISL_272916|A/Maine/19/2017
EPI_ISL_281711|A/Michigan/278/2017
EPI_ISL_272920|A/Minnesota/28/2017
EPI_ISL_273710|A/Minnesota/33/2017
EPI_ISL_259224|A/Montana/09/2017
EPI_ISL_264461|A/New_Jersey/16/2017
EPI_ISL_259228|A/New_Mexico/11/2017
EPI_ISL_273622|A/Parana/99/2017
EPI_ISL_272926|A/Santiago/25140/2017
EPI_ISL_283355|A/Santiago/46637/2017
EPI_ISL_259213|A/Texas/07/2017
EPI_ISL_264486|A/Texas/70/2017
EPI_ISL_346238|A/Guatemala/01/2018
EPI_ISL_351910|A/Hawaii/76/2018
EPI_ISL_346058|A/Kuwait/6363/2018
EPI_ISL_319706|A/New_York/38/2018
EPI_ISL_320333|A/Alaska/20/2018
EPI_ISL_316792|A/Alaska/34/2018
EPI_ISL_336758|A/California/77/2018
EPI_ISL_320736|A/Connecticut/13/2018
EPI_ISL_320322|A/Delaware/26/2018
EPI_ISL_320756|A/Florida/28/2018
EPI_ISL_320755|A/Florida/30/2018
EPI_ISL_320343|A/Florida/41/2018
EPI_ISL_320298|A/Illinois/22/2018
EPI_ISL_319736|A/Jamaica/3792/2018
EPI_ISL_346223|A/Kenya/161/2018
EPI_ISL_341092|A/Montana/42/2018
EPI_ISL_320722|A/New_Hampshire/14/2018
EPI_ISL_395031|A/Newcastle/82/2018
EPI_ISL_350071|A/Niger/6159/2018
EPI_ISL_316448|A/Texas/67/2018
EPI_ISL_320778|A/West_Virginia/09/2018
EPI_ISL_319731|A/West_Virginia/26/2018
EPI_ISL_321895|A/Abu_Dhabi/042/2018
EPI_ISL_355698|A/Abu_Dhabi/101/2018
EPI_ISL_320744|A/Alabama/14/2018
EPI_ISL_316444|A/Alabama/20/2018
EPI_ISL_316776|A/Alaska/38/2018
EPI_ISL_315010|A/Alaska/40/2018
EPI_ISL_320302|A/Alaska/43/2018
EPI_ISL_320301|A/Alaska/44/2018
EPI_ISL_320763|A/Arizona/20/2018
EPI_ISL_316775|A/Arizona/21/2018
EPI_ISL_320304|A/Arizona/28/2018
EPI_ISL_320328|A/Arizona/33/2018
EPI_ISL_332981|A/Arizona/40/2018
EPI_ISL_333446|A/Arizona/44/2018
EPI_ISL_336755|A/California/74/2018
EPI_ISL_320782|A/Colorado/12/2018
EPI_ISL_320784|A/Colorado/17/2018
EPI_ISL_319701|A/Colorado/24/2018
EPI_ISL_390021|A/Argentina/55/2019
EPI_ISL_398572|A/Barueri/1216473-IAL/2019
EPI_ISL_390028|A/Guatemala/125/2019
EPI_ISL_413250|A/Jamaica/9040/2019
EPI_ISL_416804|A/Bhutan/885/2019
EPI_ISL_412188|A/Nicaragua/1336/2019
EPI_ISL_409080|A/Jamaica/5270/2019
EPI_ISL_416783|A/Jamaica/10164/2019
EPI_ISL_412172|A/Alberta/RV2423/2019
EPI_ISL_412161|A/Jamaica/3507/2019
EPI_ISL_409114|A/Mississippi/40/2019
EPI_ISL_405743|A/Laos/2461/2019
EPI_ISL_413287|A/Nicaragua/1310/2019
EPI_ISL_413266|A/Togo/1199/2019
EPI_ISL_412139|A/Jamaica/60361/2019
EPI_ISL_418563|A/Laos/3302/2019
EPI_ISL_413228|A/Nicaragua/1348/2019
EPI_ISL_409059|A/Yasothon/384/2019
EPI_ISL_413239|A/Peru/3519/2019
EPI_ISL_435321|A/Nicaragua/1361/2019
EPI_ISL_413229|A/Nicaragua/1387/2019
EPI_ISL_404754|A/New_Hampshire/37/2019
EPI_ISL_413699|A/Nicaragua/1392/2019
EPI_ISL_404574|A/Abu_Dhabi/085/2019
EPI_ISL_413258|A/Michigan/482/2019
EPI_ISL_413230|A/Nicaragua/1385/2019
EPI_ISL_402736|A/Michigan/458/2019
EPI_ISL_412153|A/Bahrain/835/2019
EPI_ISL_417898|A/Peru/3819/2019
EPI_ISL_405740|A/District_Of_Columbia/51/2019
EPI_ISL_405742|A/Pennsylvania/1031/2019
EPI_ISL_404750|A/Florida/130/2019
EPI_ISL_417902|A/Peru/8519/2019
EPI_ISL_443126|A/Nigeria/4117/2019
EPI_ISL_413274|A/Michigan/483/2019
EPI_ISL_409405|A/Abudhabi/059/2019
EPI_ISL_409406|A/Abudhabi/062/2019
EPI_ISL_398575|A/Arizona/34/2019
EPI_ISL_391100|A/Kanagawa/ZC1805/2019
EPI_ISL_398579|A/Louisiana/39/2019
EPI_ISL_424743|A/Maryland/19/2020
EPI_ISL_424763|A/Wisconsin/52/2020
EPI_ISL_421100|A/Texas/42/2020
EPI_ISL_455797|A/Illinois/10/2020
EPI_ISL_424741|A/Connecticut/16/2020
EPI_ISL_424744|A/Maryland/20/2020
EPI_ISL_487468|A/Guyane/317/2020
EPI_ISL_455799|A/Wisconsin/49/2020
EPI_ISL_424756|A/Minnesota/16/2020
EPI_ISL_421121|A/Washington/20/2020
EPI_ISL_455800|A/Wisconsin/48/2020
EPI_ISL_430751|A/Hawaii/21/2020
EPI_ISL_471532|A/Alberta/RV5268/2020
EPI_ISL_430755|A/California/49/2020
EPI_ISL_424757|A/Illinois/14/2020
EPI_ISL_421118|A/Wisconsin/43/2020
EPI_ISL_584006|A/Minas_Gerais/12710/2020
EPI_ISL_421122|A/Washington/24/2020
EPI_ISL_449733|A/Washington/22/2020
EPI_ISL_421112|A/Hawaii/16/2020
EPI_ISL_471533|A/Manitoba/RV5046/2020
EPI_ISL_416773|A/Washington/15/2020
EPI_ISL_455796|A/Illinois/08/2020
EPI_ISL_517765|A/Virginia/03/2020
EPI_ISL_424735|A/Tennessee/26/2020
EPI_ISL_424760|A/Connecticut/10/2020
EPI_ISL_409070|A/Wisconsin/03/2020
EPI_ISL_424734|A/South_Dakota/12/2020
EPI_ISL_517672|A/Haiti/304/2020
EPI_ISL_424764|A/Massachusetts/14/2020
EPI_ISL_416810|A/Pennsylvania/16/2020
EPI_ISL_517675|A/Haiti/277/2020
EPI_ISL_455812|A/Iowa/20/2020
EPI_ISL_430752|A/Hawaii/20/2020
EPI_ISL_421113|A/Hawaii/19/2020
EPI_ISL_413248|A/Pennsylvania/10/2020
EPI_ISL_421115|A/Arizona/11/2020
EPI_ISL_424759|A/Illinois/15/2020
EPI_ISL_424758|A/Wisconsin/53/2020
EPI_ISL_421116|A/Arizona/13/2020
